"From","Media Type","Created","Content","Conversation Title","IsSender","Created(microseconds)","MainFrom","app","person"
"","TEXT","2023-01-02 22:30:09 UTC","","",FALSE,1672698609402,"C","sp","z"
"","TEXT","2023-01-02 22:29:25 UTC","","",TRUE,1672698565558,"C","sp","z"
"","TEXT","2023-01-02 22:29:12 UTC","","",FALSE,1672698552445,"C","sp","z"
"","TEXT","2023-01-02 22:28:59 UTC","","",TRUE,1672698539838,"C","sp","z"
"","TEXT","2023-01-02 22:28:50 UTC","","",FALSE,1672698530610,"C","sp","z"
"","TEXT","2023-01-02 22:28:47 UTC","","",TRUE,1672698527134,"C","sp","z"
"","TEXT","2023-01-02 22:28:38 UTC","","",FALSE,1672698518310,"C","sp","z"
"","TEXT","2023-01-02 22:28:30 UTC","","",TRUE,1672698510897,"C","sp","z"
"","TEXT","2023-01-02 22:28:12 UTC","","",FALSE,1672698492889,"C","sp","z"
"","TEXT","2023-01-02 22:28:08 UTC","","",FALSE,1672698488343,"C","sp","z"
"","TEXT","2023-01-02 22:28:00 UTC","","",TRUE,1672698480102,"C","sp","z"
"","TEXT","2023-01-02 22:27:53 UTC","","",TRUE,1672698473001,"C","sp","z"
"","TEXT","2023-01-02 22:27:30 UTC","","",FALSE,1672698450429,"C","sp","z"
"","TEXT","2023-01-02 22:27:23 UTC","","",FALSE,1672698443923,"C","sp","z"
"","MEDIA","2023-01-02 22:27:07 UTC","","",TRUE,1672698427870,"C","sp","z"
"","TEXT","2023-01-02 22:26:55 UTC","","",FALSE,1672698415518,"C","sp","z"
"","TEXT","2023-01-02 22:26:55 UTC","","",TRUE,1672698415230,"C","sp","z"
"","TEXT","2023-01-02 22:26:48 UTC","","",FALSE,1672698408875,"C","sp","z"
"","TEXT","2023-01-02 22:26:41 UTC","","",FALSE,1672698401645,"C","sp","z"
"","TEXT","2023-01-02 22:26:25 UTC","","",FALSE,1672698385919,"C","sp","z"
"","TEXT","2023-01-02 22:26:21 UTC","","",FALSE,1672698381549,"C","sp","z"
"","TEXT","2023-01-02 22:25:59 UTC","","",TRUE,1672698359267,"C","sp","z"
"","MEDIA","2023-01-02 22:25:56 UTC","","",TRUE,1672698356881,"C","sp","z"
"","TEXT","2023-01-02 22:25:13 UTC","","",TRUE,1672698313424,"C","sp","z"
"","TEXT","2023-01-02 20:45:37 UTC","","",FALSE,1672692337668,"C","sp","z"
"","TEXT","2023-01-02 20:45:29 UTC","","",FALSE,1672692329628,"C","sp","z"
"","TEXT","2022-11-19 21:27:27 UTC","","",FALSE,1668893247413,"C","sp","z"
"","MEDIA","2022-11-19 21:27:26 UTC","","",FALSE,1668893246973,"C","sp","z"
"","TEXT","2022-09-30 16:12:13 UTC","","",TRUE,1664554333872,"C","sp","z"
"","TEXT","2022-08-11 19:28:54 UTC","","",TRUE,1660246134177,"C","sp","z"
"","TEXT","2022-08-11 19:28:49 UTC","","",TRUE,1660246129176,"C","sp","z"
"","TEXT","2022-08-11 19:22:17 UTC","","",FALSE,1660245737384,"C","sp","z"
"","TEXT","2022-08-11 19:22:14 UTC","","",FALSE,1660245734067,"C","sp","z"
"","TEXT","2022-08-11 18:51:10 UTC","","",TRUE,1660243870718,"C","sp","z"
"","TEXT","2022-08-11 18:51:00 UTC","","",TRUE,1660243860482,"C","sp","z"
"","TEXT","2022-08-11 18:50:55 UTC","","",FALSE,1660243855247,"C","sp","z"
"","TEXT","2022-08-11 18:50:52 UTC","","",FALSE,1660243852558,"C","sp","z"
"","TEXT","2022-08-11 18:50:34 UTC","","",TRUE,1660243834954,"C","sp","z"
"","TEXT","2022-08-11 18:50:20 UTC","","",FALSE,1660243820538,"C","sp","z"
"","TEXT","2022-08-11 18:43:50 UTC","","",TRUE,1660243430254,"C","sp","z"
"","TEXT","2022-07-05 12:51:34 UTC","","",FALSE,1657025494033,"C","sp","z"
"","TEXT","2022-07-05 12:36:29 UTC","","",TRUE,1657024589593,"C","sp","z"
"","TEXT","2022-07-05 12:36:15 UTC","","",TRUE,1657024575196,"C","sp","z"
"","TEXT","2022-07-05 12:35:23 UTC","","",TRUE,1657024523569,"C","sp","z"
"","TEXT","2022-07-05 12:35:16 UTC","","",FALSE,1657024516179,"C","sp","z"
"","TEXT","2022-07-05 12:35:10 UTC","","",FALSE,1657024510347,"C","sp","z"
"","TEXT","2022-07-05 12:35:05 UTC","","",FALSE,1657024505913,"C","sp","z"
"","TEXT","2022-07-05 12:35:03 UTC","","",TRUE,1657024503373,"C","sp","z"
"","TEXT","2022-07-05 12:34:32 UTC","","",FALSE,1657024472384,"C","sp","z"
"","TEXT","2022-07-05 12:34:19 UTC","","",TRUE,1657024459016,"C","sp","z"
"","TEXT","2022-07-05 12:34:11 UTC","","",TRUE,1657024451977,"C","sp","z"
"","TEXT","2022-07-05 12:34:06 UTC","","",FALSE,1657024446050,"C","sp","z"
"","TEXT","2022-07-05 12:33:51 UTC","","",FALSE,1657024431344,"C","sp","z"
"","TEXT","2022-07-05 12:33:43 UTC","","",FALSE,1657024423718,"C","sp","z"
"","TEXT","2022-07-05 12:33:41 UTC","","",FALSE,1657024421293,"C","sp","z"
"","TEXT","2022-07-05 12:33:36 UTC","","",FALSE,1657024416940,"C","sp","z"
"","TEXT","2022-07-05 12:33:32 UTC","","",FALSE,1657024412027,"C","sp","z"
"","TEXT","2022-07-05 12:32:54 UTC","","",TRUE,1657024374853,"C","sp","z"
"","TEXT","2022-06-28 13:49:31 UTC","","",FALSE,1656424171738,"C","sp","z"
"","NOTE","2022-06-28 13:49:22 UTC","","",FALSE,1656424162913,"C","sp","z"
"","TEXT","2022-06-28 13:49:10 UTC","","",FALSE,1656424150723,"C","sp","z"
"","TEXT","2022-06-28 13:48:55 UTC","","",FALSE,1656424135404,"C","sp","z"
"","TEXT","2022-06-28 13:48:43 UTC","","",FALSE,1656424123490,"C","sp","z"
"","MEDIA","2022-06-28 13:48:38 UTC","","",FALSE,1656424118132,"C","sp","z"
"","TEXT","2022-06-28 13:48:30 UTC","","",TRUE,1656424110485,"C","sp","z"
"","TEXT","2022-06-28 13:48:25 UTC","","",FALSE,1656424105793,"C","sp","z"
"","TEXT","2022-06-28 13:48:23 UTC","","",FALSE,1656424103599,"C","sp","z"
"","TEXT","2022-06-28 13:48:20 UTC","","",FALSE,1656424100384,"C","sp","z"
"","TEXT","2022-06-28 13:48:11 UTC","","",FALSE,1656424091274,"C","sp","z"
"","TEXT","2022-06-28 13:47:02 UTC","","",FALSE,1656424022564,"C","sp","z"
"","TEXT","2022-06-28 13:32:27 UTC","","",FALSE,1656423147405,"C","sp","z"
"","TEXT","2022-06-28 13:28:30 UTC","","",FALSE,1656422910808,"C","sp","z"
"","TEXT","2022-06-28 13:28:18 UTC","","",FALSE,1656422898091,"C","sp","z"
"","TEXT","2022-06-28 13:25:13 UTC","","",FALSE,1656422713400,"C","sp","z"
"","TEXT","2022-06-28 13:25:03 UTC","","",FALSE,1656422703980,"C","sp","z"
"","TEXT","2022-06-28 13:17:54 UTC","","",TRUE,1656422274379,"C","sp","z"
"","MEDIA","2022-06-28 13:15:16 UTC","","",FALSE,1656422116549,"C","sp","z"
"","MEDIA","2022-06-28 13:15:08 UTC","","",FALSE,1656422108692,"C","sp","z"
"","TEXT","2022-06-22 08:04:17 UTC","","",TRUE,1655885057910,"C","sp","z"
