"From","Media Type","Created","Content","Conversation Title","IsSender","Created(microseconds)","MainFrom","app","person"
"","TEXT","2022-12-22 16:13:32 UTC","","",TRUE,1671725612936,"G","sp","a"
"","TEXT","2022-12-22 16:13:30 UTC","","",TRUE,1671725610631,"G","sp","a"
"","TEXT","2022-12-22 16:13:16 UTC","","",TRUE,1671725596767,"G","sp","a"
"","TEXT","2022-12-22 16:13:16 UTC","","",FALSE,1671725596076,"G","sp","a"
"","TEXT","2022-12-22 16:13:07 UTC","","",FALSE,1671725587632,"G","sp","a"
"","TEXT","2022-12-22 16:13:05 UTC","","",TRUE,1671725585806,"G","sp","a"
"","TEXT","2022-12-22 16:12:56 UTC","","",TRUE,1671725576445,"G","sp","a"
"","TEXT","2022-12-22 16:12:47 UTC","","",FALSE,1671725567898,"G","sp","a"
"","TEXT","2022-12-22 16:12:37 UTC","","",FALSE,1671725557373,"G","sp","a"
"","TEXT","2022-12-22 16:12:31 UTC","","",TRUE,1671725551025,"G","sp","a"
"","TEXT","2022-12-22 16:12:21 UTC","","",FALSE,1671725541510,"G","sp","a"
"","TEXT","2022-12-22 16:11:40 UTC","","",TRUE,1671725500225,"G","sp","a"
"","TEXT","2022-12-22 16:11:24 UTC","","",TRUE,1671725484734,"G","sp","a"
"","TEXT","2022-12-22 15:30:32 UTC","","",FALSE,1671723032405,"G","sp","a"
"","TEXT","2022-12-03 14:12:14 UTC","","",TRUE,1670076734811,"G","sp","a"
"","TEXT","2022-12-03 03:25:18 UTC","","",FALSE,1670037918950,"G","sp","a"
"","TEXT","2022-12-03 03:25:11 UTC","","",FALSE,1670037911199,"G","sp","a"
"","TEXT","2022-12-03 03:25:03 UTC","","",FALSE,1670037903790,"G","sp","a"
"","MEDIA","2022-12-03 03:24:58 UTC","","",FALSE,1670037898864,"G","sp","a"
"","TEXT","2022-11-22 00:24:42 UTC","","",TRUE,1669076682530,"G","sp","a"
"","MEDIA","2022-11-22 00:24:40 UTC","","",TRUE,1669076680468,"G","sp","a"
"","TEXT","2022-11-22 00:23:45 UTC","","",TRUE,1669076625047,"G","sp","a"
"","TEXT","2022-11-22 00:23:43 UTC","","",TRUE,1669076623450,"G","sp","a"
"","TEXT","2022-11-22 00:23:29 UTC","","",TRUE,1669076609658,"G","sp","a"
"","TEXT","2022-11-22 00:23:12 UTC","","",TRUE,1669076592431,"G","sp","a"
"","TEXT","2022-11-22 00:23:00 UTC","","",FALSE,1669076580937,"G","sp","a"
"","TEXT","2022-11-22 00:22:53 UTC","","",FALSE,1669076573986,"G","sp","a"
"","TEXT","2022-11-22 00:22:49 UTC","","",TRUE,1669076569155,"G","sp","a"
"","TEXT","2022-11-22 00:22:41 UTC","","",TRUE,1669076561284,"G","sp","a"
