"person","app","day","month","year","strDate","date"
"f","mg","24","09","2022","24-09-2022","20220924"
"f","mg","24","09","2022","24-09-2022","20220924"
"f","mg","24","09","2022","24-09-2022","20220924"
"f","mg","23","09","2022","23-09-2022","20220923"
"f","mg","22","09","2022","22-09-2022","20220922"
"f","mg","21","09","2022","21-09-2022","20220921"
"f","mg","20","09","2022","20-09-2022","20220920"
"f","mg","14","09","2022","14-09-2022","20220914"
"f","mg","13","09","2022","13-09-2022","20220913"
"f","mg","12","09","2022","12-09-2022","20220912"
"f","mg","11","09","2022","11-09-2022","20220911"
"f","mg","11","09","2022","11-09-2022","20220911"
"f","mg","11","09","2022","11-09-2022","20220911"
"f","mg","11","09","2022","11-09-2022","20220911"
"f","mg","11","09","2022","11-09-2022","20220911"
"f","mg","11","09","2022","11-09-2022","20220911"
"f","mg","02","09","2022","02-09-2022","20220902"
"f","mg","28","08","2022","28-08-2022","20220828"
"f","mg","12","08","2022","12-08-2022","20220812"
"f","mg","04","08","2022","04-08-2022","20220804"
"f","mg","02","08","2022","02-08-2022","20220802"
"f","mg","15","07","2022","15-07-2022","20220715"
"f","mg","04","07","2022","04-07-2022","20220704"
"f","mg","01","07","2022","01-07-2022","20220701"
"f","mg","26","06","2022","26-06-2022","20220626"
"f","mg","20","06","2022","20-06-2022","20220620"
"f","mg","20","06","2022","20-06-2022","20220620"
"f","mg","20","06","2022","20-06-2022","20220620"
"f","mg","20","06","2022","20-06-2022","20220620"
"f","mg","18","06","2022","18-06-2022","20220618"
"f","mg","18","06","2022","18-06-2022","20220618"
"f","mg","16","06","2022","16-06-2022","20220616"
"f","mg","30","05","2022","30-05-2022","20220530"
"f","mg","29","05","2022","29-05-2022","20220529"
"f","mg","29","05","2022","29-05-2022","20220529"
"f","mg","25","05","2022","25-05-2022","20220525"
"f","mg","20","05","2022","20-05-2022","20220520"
"f","mg","17","05","2022","17-05-2022","20220517"
"f","mg","17","05","2022","17-05-2022","20220517"
"f","mg","16","05","2022","16-05-2022","20220516"
"f","mg","13","05","2022","13-05-2022","20220513"
"f","mg","12","05","2022","12-05-2022","20220512"
"f","mg","30","04","2022","30-04-2022","20220430"
"f","mg","24","04","2022","24-04-2022","20220424"
"f","mg","12","04","2022","12-04-2022","20220412"
"f","mg","07","04","2022","07-04-2022","20220407"
"f","mg","06","04","2022","06-04-2022","20220406"
"f","mg","29","03","2022","29-03-2022","20220329"
"f","mg","16","01","2022","16-01-2022","20220116"
"f","mg","16","01","2022","16-01-2022","20220116"
"f","mg","01","01","2022","01-01-2022","20220101"
"f","mg","28","12","2021","28-12-2021","20211228"
"f","mg","12","12","2021","12-12-2021","20211212"
"f","mg","14","09","2021","14-09-2021","20210914"
"f","mg","07","08","2021","07-08-2021","20210807"
"f","mg","15","06","2021","15-06-2021","20210615"
"f","mg","07","06","2021","07-06-2021","20210607"
"f","mg","27","05","2021","27-05-2021","20210527"
"f","mg","05","03","2021","05-03-2021","20210305"
"f","mg","03","02","2021","03-02-2021","20210203"
"f","mg","05","12","2020","05-12-2020","20201205"
"f","mg","24","11","2020","24-11-2020","20201124"
"f","mg","10","10","2020","10-10-2020","20201010"
"f","mg","05","10","2020","05-10-2020","20201005"
"f","mg","20","09","2020","20-09-2020","20200920"
"f","mg","21","08","2020","21-08-2020","20200821"
"f","mg","02","08","2020","02-08-2020","20200802"
"f","mg","29","07","2020","29-07-2020","20200729"
"f","mg","12","07","2020","12-07-2020","20200712"
"f","mg","04","07","2020","04-07-2020","20200704"
"f","mg","20","06","2020","20-06-2020","20200620"
"f","mg","13","06","2020","13-06-2020","20200613"
"f","mg","12","05","2020","12-05-2020","20200512"
"f","mg","10","05","2020","10-05-2020","20200510"
"f","mg","18","04","2020","18-04-2020","20200418"
"f","mg","26","03","2020","26-03-2020","20200326"
"f","mg","21","03","2020","21-03-2020","20200321"
"f","mg","09","03","2020","09-03-2020","20200309"
"f","mg","26","02","2020","26-02-2020","20200226"
"f","mg","24","02","2020","24-02-2020","20200224"
"f","mg","21","02","2020","21-02-2020","20200221"
"f","mg","07","02","2020","07-02-2020","20200207"
"f","mg","03","02","2020","03-02-2020","20200203"
"f","mg","01","02","2020","01-02-2020","20200201"
"f","mg","30","01","2020","30-01-2020","20200130"
"f","mg","29","01","2020","29-01-2020","20200129"
"f","mg","20","12","2019","20-12-2019","20191220"
"f","mg","28","10","2019","28-10-2019","20191028"
"f","mg","27","10","2019","27-10-2019","20191027"
"f","mg","23","10","2019","23-10-2019","20191023"
"f","mg","23","10","2019","23-10-2019","20191023"
"f","mg","13","10","2019","13-10-2019","20191013"
"f","mg","12","10","2019","12-10-2019","20191012"
"f","mg","04","10","2019","04-10-2019","20191004"
"f","mg","27","09","2019","27-09-2019","20190927"
"f","mg","25","09","2019","25-09-2019","20190925"
"f","mg","24","09","2019","24-09-2019","20190924"
"f","mg","24","09","2019","24-09-2019","20190924"
"f","mg","20","09","2019","20-09-2019","20190920"
"f","mg","12","09","2019","12-09-2019","20190912"
"f","mg","11","09","2019","11-09-2019","20190911"
"f","mg","11","09","2019","11-09-2019","20190911"
"f","mg","10","09","2019","10-09-2019","20190910"
"f","mg","10","09","2019","10-09-2019","20190910"
"f","mg","10","09","2019","10-09-2019","20190910"
"f","mg","10","09","2019","10-09-2019","20190910"
"f","mg","10","09","2019","10-09-2019","20190910"
"f","mg","09","09","2019","09-09-2019","20190909"
"f","mg","07","09","2019","07-09-2019","20190907"
"f","mg","06","09","2019","06-09-2019","20190906"
"f","mg","05","09","2019","05-09-2019","20190905"
"f","mg","05","09","2019","05-09-2019","20190905"
"f","mg","04","09","2019","04-09-2019","20190904"
"f","mg","01","09","2019","01-09-2019","20190901"
"f","mg","31","08","2019","31-08-2019","20190831"
"f","mg","30","08","2019","30-08-2019","20190830"
"f","mg","30","08","2019","30-08-2019","20190830"
"f","mg","30","08","2019","30-08-2019","20190830"
"f","mg","29","08","2019","29-08-2019","20190829"
"f","mg","29","08","2019","29-08-2019","20190829"
"f","mg","29","08","2019","29-08-2019","20190829"
"f","mg","29","08","2019","29-08-2019","20190829"
"f","mg","29","08","2019","29-08-2019","20190829"
"f","mg","29","08","2019","29-08-2019","20190829"
"f","mg","29","08","2019","29-08-2019","20190829"
"f","mg","28","08","2019","28-08-2019","20190828"
